"area_name","premis_desc"
"77th Street","STREET"
"Central","STREET"
"Devonshire","SINGLE FAMILY DWELLING"
"Foothill","SINGLE FAMILY DWELLING"
"Harbor","STREET"
"Hollenbeck","STREET"
"Hollywood","STREET"
"Mission","STREET"
"N Hollywood","STREET"
"Newton","STREET"
"Northeast","STREET"
"Olympic","STREET"
"Pacific","STREET"
"Rampart","STREET"
"Southeast","STREET"
"Southwest","STREET"
"Topanga","SINGLE FAMILY DWELLING"
"Van Nuys","STREET"
"West LA","SINGLE FAMILY DWELLING"
"West Valley","SINGLE FAMILY DWELLING"
"Wilshire","STREET"
